DatabaseID,Adduct,Annotation,std1-Beer_esi_02022012.csv,std1-Beth20512.csv,std1-Eileen02512.csv,std1-Iain_Jonstone19_4_12.csv,std1-Ivana_29_2_12.csv,std1-Robello040512.csv
StdMix1_77,2M-H,[12C]6[1H]13[14N]2[16O]10[32S]2,1571367.375,354580.59375,379228.21875,1551504.875,294328.4375,828729.375
StdMix1_61,M+FA-H,[12C]10[1H]13[14N]2[16O]7,1515967.75,788471.0,802016.4375,2409657.0,1193341.125,1120789.875
StdMix1_79,M-H,[12C]9[1H]13[14N]3[16O]8[31P]1,1440175.75,,,,,
StdMix1_47,M-H,[12C]12[1H]15[14N]4[16O]1[32S]1,1371555.125,,,,879441.9375,547447.1875
StdMix1_89,M-H,[12C]7[1H]9[16O]7,1360168.125,601926.5,666500.4375,882682.25,85592.890625,672664.1875
StdMix1_86,M+FA-H,[12C]5[1H]9[16O]6,1291531.25,567584.0,770354.1875,1266184.25,739942.5625,902320.6875
StdMix1_11,2M-H,[12C]20[1H]23[14N]8[16O]10,1210508.375,263185.71875,304627.65625,862858.625,461366.59375,231913.46875
StdMix1_59,M-H,[12C]3[1H]3[16O]4,1162193.75,598238.0,723147.8125,938216.0,1405525.875,833830.625
StdMix1_53,M-H,[12C]4[1H]3[16O]4,1140709.0,689045.3125,732076.4375,1349418.5,1101918.75,1177776.875
StdMix1_29,M-H,[12C]4[1H]6[14N]1[16O]4,1136435.125,,,,,
StdMix1_3,M+FA-H,[12C]9[1H]16[14N]1[16O]8,972329.0625,411165.625,449626.21875,1099304.75,553486.875,670595.0625
StdMix1_87,M+Cl,[12C]12[1H]22[16O]11[37Cl]1,889701.5625,707518.25,806621.5,1634179.875,460559.34375,910839.875
StdMix1_80,M-H,[12C]6[1H]12[16O]9[31P]1,810162.875,,,367085.03125,,
StdMix1_51,M-H2O-H,[12C]4[1H]5[16O]2,808309.9375,600830.625,587382.0,671301.3125,244568.9375,181371.015625
StdMix1_3,M+Cl,[12C]8[1H]15[14N]1[16O]6[37Cl]1,800393.625,267199.96875,315609.625,998369.5625,410694.78125,213080.453125
StdMix1_87,M+FA-H,[12C]13[1H]23[16O]13,797360.875,342667.0625,352542.8125,858052.75,283313.84375,464794.625
StdMix1_61,M-H,[12C]9[1H]11[14N]2[16O]5,793864.9375,558911.0,538318.8125,1328234.75,577542.9375,354178.4375
StdMix1_55,M-H,[12C]8[1H]7[16O]4,752518.9375,492189.5625,553151.75,2457392.5,642620.75,1121467.25
StdMix1_84,M-H,[12C]5[1H]8[14N]1[16O]4,726436.5625,,321207.65625,1130015.5,,
StdMix1_70,M-H,[12C]6[1H]11[16O]7,725176.375,399064.5,437744.75,860112.0,97058.085938,385788.4375
StdMix1_58,M-H,[12C]3[1H]3[16O]3,701282.25,465126.1875,483723.375,1457104.0,,606845.1875
StdMix1_104,M+FA-H,[12C]4[1H]7[16O]5,678508.875,428306.25,,976176.625,287625.71875,
StdMix1_56,M-H,[12C]10[1H]13[14N]2[16O]5,667264.9375,585436.9375,657040.4375,2076585.75,653538.5,414291.5
StdMix1_34,M-H,[12C]3[1H]6[14N]1[16O]3,657015.9375,,,,,
StdMix1_24,M-H,[12C]2[1H]6[14N]1[16O]3[32S]1,634369.6875,599972.3125,630614.0625,1858441.875,555638.75,846713.9375
StdMix1_19,M-H,[12C]8[1H]10[14N]1[16O]3,621675.1875,719679.0,656463.1875,1108922.125,239711.546875,406657.875
StdMix1_2,M-H,[12C]5[1H]5[14N]2[16O]2,580703.75,283859.1875,318638.59375,786976.6875,298048.0,376122.1875
StdMix1_51,M-H,[12C]4[1H]7[16O]3,577102.125,399563.40625,418773.1875,627016.6875,395116.65625,323907.25
StdMix1_98,M-H,[12C]8[1H]7[16O]3,543961.4375,415031.1875,434294.125,962010.375,,
StdMix1_86,M-H,[12C]4[1H]7[16O]4,512839.09375,312119.84375,340720.28125,694420.375,273518.65625,256256.71875
StdMix1_42,M-H,[12C]7[1H]13[14N]2[16O]4,480164.59375,,,594227.3125,,409676.75
StdMix1_67,M+FA-H,[12C]7[1H]13[16O]7,462158.75,275940.0,299188.96875,560341.8125,184388.625,322658.625
StdMix1_85,M+Cl,[12C]6[1H]12[16O]6[35Cl]1,431599.5,256118.46875,273914.46875,835144.1875,264024.625,145618.125
StdMix1_28,M-H,[12C]4[1H]8[14N]1[16O]3,423515.875,279938.0625,289207.90625,1053987.375,274028.71875,
StdMix1_3,M-H,[12C]8[1H]14[14N]1[16O]6,411193.15625,188377.609375,199008.203125,499706.03125,244981.703125,160360.203125
StdMix1_85,M-H,[12C]6[1H]11[16O]6,407241.125,,207640.265625,450672.5,,312362.90625
StdMix1_86,2M-H,[12C]8[1H]15[16O]8,398524.625,502443.5,591363.25,1627587.75,266046.625,362199.75
StdMix1_89,M-H2O-H,[12C]7[1H]7[16O]6,381757.40625,16196.463867,17806.722656,,28776.693359,
StdMix1_36,M+FA-H,[12C]10[1H]14[14N]3[16O]7,379750.15625,208890.09375,239218.203125,592624.75,220309.328125,299035.65625
StdMix1_88,2M-H,[12C]8[1H]11[16O]6,351511.25,175414.625,195785.953125,521679.90625,182100.046875,99135.335938
StdMix1_36,M-H,[12C]9[1H]12[14N]3[16O]5,336929.875,353914.59375,368559.59375,658022.25,176444.46875,
StdMix1_19,M+Cl,[12C]8[1H]11[14N]1[16O]3[35Cl]1,324112.625,299658.78125,297451.0,496667.71875,135807.03125,300432.5
StdMix1_64,2M-H,[12C]14[1H]11[16O]10,288322.5625,208819.109375,222358.359375,951922.1875,94964.304688,194333.984375
StdMix1_70,M-H2O-H,[12C]6[1H]9[16O]6,285594.28125,105710.242188,111934.984375,234046.296875,167919.03125,72354.257813
